"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-01","2001","01","01","","-28.8","","-34.2","","-31.5","","49.5","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-02","2001","01","02","","-32.4","","-33.9","","-33.2","","51.2","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-03","2001","01","03","","-30.9","","-34.9","","-32.9","","50.9","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-04","2001","01","04","","-31.0","","-34.5","","-32.8","","50.8","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-05","2001","01","05","","-31.9","","-35.4","","-33.7","","51.7","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-06","2001","01","06","","-30.7","","-34.7","","-32.7","","50.7","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-07","2001","01","07","","-26.8","","-33.7","","-30.3","","48.3","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-08","2001","01","08","","-19.2","","-27.1","","-23.2","","41.2","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-09","2001","01","09","","-19.1","","-21.7","","-20.4","","38.4","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-10","2001","01","10","","-21.1","","-29.6","","-25.4","","43.4","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-11","2001","01","11","","-25.4","","-31.5","","-28.5","","46.5","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-12","2001","01","12","","-24.2","","-30.0","","-27.1","","45.1","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-13","2001","01","13","","-21.6","","-25.2","","-23.4","","41.4","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-14","2001","01","14","","-20.9","","-27.2","","-24.1","","42.1","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-15","2001","01","15","","-10.2","","-21.6","","-15.9","","33.9","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-16","2001","01","16","","-5.4","","-10.9","","-8.2","","26.2","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-17","2001","01","17","","-10.1","","-16.4","","-13.3","","31.3","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-18","2001","01","18","","-10.6","","-18.2","","-14.4","","32.4","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-19","2001","01","19","","-12.0","","-19.6","","-15.8","","33.8","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-20","2001","01","20","","-12.1","","-18.3","","-15.2","","33.2","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-21","2001","01","21","","-14.5","","-20.3","","-17.4","","35.4","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-22","2001","01","22","","-16.2","","-24.3","","-20.3","","38.3","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-23","2001","01","23","","-13.6","","-19.8","","-16.7","","34.7","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-24","2001","01","24","","-14.8","","-24.0","","-19.4","","37.4","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-25","2001","01","25","","-18.3","","-28.4","","-23.4","","41.4","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-26","2001","01","26","","-17.9","","-26.9","","-22.4","","40.4","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-27","2001","01","27","","-22.9","","-27.9","","-25.4","","43.4","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-28","2001","01","28","","-26.6","","-28.7","","-27.7","","45.7","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-29","2001","01","29","","-23.8","","-27.3","","-25.6","","43.6","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-30","2001","01","30","","-22.0","","-28.5","","-25.3","","43.3","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-01-31","2001","01","31","","-26.2","","-30.8","","-28.5","","46.5","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-02-01","2001","02","01","","-24.7","","-28.5","","-26.6","","44.6","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-02-02","2001","02","02","","-24.2","","-29.9","","-27.1","","45.1","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-02-03","2001","02","03","","-21.2","","-25.5","","-23.4","","41.4","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-02-04","2001","02","04","","-20.9","","-26.4","","-23.7","","41.7","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-02-05","2001","02","05","","-24.0","","-29.1","","-26.6","","44.6","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-02-06","2001","02","06","","-25.6","","-29.6","","-27.6","","45.6","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-02-07","2001","02","07","","-18.1","","-25.9","","-22.0","","40.0","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-02-08","2001","02","08","","-18.1","","-24.8","","-21.5","","39.5","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-02-09","2001","02","09","","-24.0","","-29.2","","-26.6","","44.6","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-02-10","2001","02","10","","-16.8","","-29.2","","-23.0","","41.0","","0.0","","","","","","","","","","","","",""
"-130.91","69.60","LIVERPOOL BAY","220B68C","2001-02-11","2001","02","11","","-18.5","","-23.6","","-21.1","","39.1","","0.0","","","","","","","","","","","","",""
