"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-01 00:00","2000","05","01","00:00","-9.8","","","M","","M","10","","24","","","M","96.97","","","","-18","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-01 01:00","2000","05","01","01:00","-10.2","","","M","","M","9","","24","","","M","96.93","","","","-19","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-01 02:00","2000","05","01","02:00","-10.2","","","M","","M","8","","13","","","M","96.97","","","","-16","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-01 03:00","2000","05","01","03:00","-10.0","","","M","","M","8","","19","","","M","96.97","","","","-18","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-01 04:00","2000","05","01","04:00","-9.8","","","M","","M","5","","28","","","M","96.93","","","","-19","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-01 05:00","2000","05","01","05:00","-9.9","","","M","","M","5","","30","","","M","96.93","","","","-19","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-01 06:00","2000","05","01","06:00","-10.0","","","M","","M","5","","30","","","M","96.97","","","","-20","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-01 07:00","2000","05","01","07:00","-9.7","","","M","","M","5","","30","","","M","96.97","","","","-19","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-01 08:00","2000","05","01","08:00","-9.7","","","M","","M","4","","24","","","M","97.03","","","","-18","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-01 09:00","2000","05","01","09:00","-9.2","","","M","","M","5","","28","","","M","97.03","","","","-18","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-01 10:00","2000","05","01","10:00","-9.2","","","M","","M","2","","17","","","M","97.10","","","","-16","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-01 11:00","2000","05","01","11:00","-8.7","","","M","","M","1","","20","","","M","97.10","","","","-16","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-01 12:00","2000","05","01","12:00","-8.8","","","M","","M","36","","15","","","M","97.13","","","","-15","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-01 13:00","2000","05","01","13:00","-8.8","","","M","","M","36","","17","","","M","97.16","","","","-16","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-01 14:00","2000","05","01","14:00","-8.6","","","M","","M","35","","17","","","M","97.20","","","","-15","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-01 15:00","2000","05","01","15:00","-8.4","","","M","","M","36","","17","","","M","97.23","","","","-15","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-01 16:00","2000","05","01","16:00","-8.3","","","M","","M","36","","15","","","M","97.26","","","","-15","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-01 17:00","2000","05","01","17:00","-8.3","","","M","","M","36","","13","","","M","97.30","","","","-14","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-01 18:00","2000","05","01","18:00","-8.1","","","M","","M","36","","11","","","M","97.30","","","","-13","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-01 19:00","2000","05","01","19:00","-8.6","","","M","","M","36","","11","","","M","97.33","","","","-14","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-01 20:00","2000","05","01","20:00","-9.1","","","M","","M","36","","13","","","M","97.36","","","","-15","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-01 21:00","2000","05","01","21:00","-9.4","","","M","","M","1","","17","","","M","97.39","","","","-16","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-01 22:00","2000","05","01","22:00","-9.6","","","M","","M","3","","15","","","M","97.43","","","","-16","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-01 23:00","2000","05","01","23:00","-9.7","","","M","","M","4","","17","","","M","97.43","","","","-17","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-02 00:00","2000","05","02","00:00","-9.9","","","M","","M","5","","17","","","M","97.43","","","","-17","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-02 01:00","2000","05","02","01:00","-10.2","","","M","","M","5","","19","","","M","97.43","","","","-18","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-02 02:00","2000","05","02","02:00","-10.3","","","M","","M","5","","17","","","M","97.46","","","","-18","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-02 03:00","2000","05","02","03:00","-10.4","","","M","","M","8","","9","","","M","97.53","","","","-15","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-02 04:00","2000","05","02","04:00","-10.9","","","M","","M","5","","15","","","M","97.56","","","","-18","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-02 05:00","2000","05","02","05:00","-11.0","","","M","","M","5","","13","","","M","97.59","","","","-17","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-02 06:00","2000","05","02","06:00","-10.6","","","M","","M","5","","11","","","M","97.59","","","","-16","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-02 07:00","2000","05","02","07:00","-10.4","","","M","","M","1","","13","","","M","97.63","","","","-17","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-02 08:00","2000","05","02","08:00","-10.2","","","M","","M","1","","13","","","M","97.66","","","","-16","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-02 09:00","2000","05","02","09:00","-10.0","","","M","","M","36","","7","","","M","97.69","","","","-14","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-02 10:00","2000","05","02","10:00","-9.7","","","M","","M","31","","13","","","M","97.72","","","","-16","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-02 11:00","2000","05","02","11:00","-9.5","","","M","","M","34","","13","","","M","97.76","","","","-16","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-02 12:00","2000","05","02","12:00","-9.4","","","M","","M","31","","17","","","M","97.76","","","","-16","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-02 13:00","2000","05","02","13:00","-9.1","","","M","","M","27","","13","","","M","97.79","","","","-15","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-02 14:00","2000","05","02","14:00","-9.3","","","M","","M","31","","15","","","M","97.82","","","","-16","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-02 15:00","2000","05","02","15:00","-9.2","","","M","","M","28","","17","","","M","97.86","","","","-16","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-02 16:00","2000","05","02","16:00","-9.2","","","M","","M","30","","20","","","M","97.89","","","","-17","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-02 17:00","2000","05","02","17:00","-8.9","","","M","","M","30","","19","","","M","97.89","","","","-16","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-02 18:00","2000","05","02","18:00","-9.1","","","M","","M","30","","24","","","M","97.92","","","","-17","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-02 19:00","2000","05","02","19:00","-9.3","","","M","","M","29","","28","","","M","97.92","","","","-18","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-02 20:00","2000","05","02","20:00","-9.1","","","M","","M","27","","24","","","M","97.92","","","","-17","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-02 21:00","2000","05","02","21:00","-9.1","","","M","","M","27","","26","","","M","97.96","","","","-18","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-02 22:00","2000","05","02","22:00","-9.8","","","M","","M","28","","33","","","M","97.92","","","","-20","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-02 23:00","2000","05","02","23:00","-11.4","","","M","","M","27","","32","","","M","97.96","","","","-22","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-03 00:00","2000","05","03","00:00","-12.2","","","M","","M","27","","33","","","M","97.96","","","","-23","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-03 01:00","2000","05","03","01:00","-12.3","","","M","","M","27","","32","","","M","97.96","","","","-23","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-03 02:00","2000","05","03","02:00","-12.7","","","M","","M","28","","32","","","M","97.96","","","","-23","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-03 03:00","2000","05","03","03:00","-13.3","","","M","","M","29","","28","","","M","97.99","","","","-24","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-03 04:00","2000","05","03","04:00","-13.9","","","M","","M","29","","28","","","M","97.96","","","","-24","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-03 05:00","2000","05","03","05:00","-13.8","","","M","","M","27","","19","","","M","97.99","","","","-22","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-03 06:00","2000","05","03","06:00","-13.0","","","M","","M","27","","17","","","M","97.99","","","","-21","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-03 07:00","2000","05","03","07:00","-12.0","","","M","","M","27","","13","","","M","97.96","","","","-19","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-03 08:00","2000","05","03","08:00","-12.0","","","M","","M","27","","19","","","M","97.96","","","","-20","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-03 09:00","2000","05","03","09:00","-11.4","","","M","","M","28","","17","","","M","97.96","","","","-19","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-03 10:00","2000","05","03","10:00","-11.0","","","M","","M","27","","11","","","M","97.96","","","","-17","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-03 11:00","2000","05","03","11:00","-9.7","","","M","","M","21","","4","","","M","97.96","","","","-12","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-03 12:00","2000","05","03","12:00","-10.7","","","M","","M","18","","7","","","M","97.92","","","","-15","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-03 13:00","2000","05","03","13:00","-10.1","","","M","","M","16","","9","","","M","97.92","","","","-15","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-03 14:00","2000","05","03","14:00","-9.9","","","M","","M","16","","9","","","M","97.89","","","","-15","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-03 15:00","2000","05","03","15:00","-10.1","","","M","","M","13","","11","","","M","97.82","","","","-16","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-03 16:00","2000","05","03","16:00","-10.5","","","M","","M","11","","13","","","M","97.82","","","","-17","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-03 17:00","2000","05","03","17:00","-10.4","","","M","","M","12","","9","","","M","97.79","","","","-15","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-03 18:00","2000","05","03","18:00","-10.6","","","M","","M","11","","15","","","M","97.76","","","","-17","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-03 19:00","2000","05","03","19:00","-10.8","","","M","","M","10","","24","","","M","97.69","","","","-20","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-03 20:00","2000","05","03","20:00","-11.0","","","M","","M","10","","26","","","M","97.69","","","","-20","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-03 21:00","2000","05","03","21:00","-11.1","","","M","","M","10","","22","","","M","97.66","","","","-20","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-03 22:00","2000","05","03","22:00","-11.2","","","M","","M","10","","22","","","M","97.63","","","","-20","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-03 23:00","2000","05","03","23:00","-11.0","","","M","","M","12","","6","","","M","97.66","","","","-15","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-04 00:00","2000","05","04","00:00","-9.3","","","M","","M","11","","11","","","M","97.66","","","","-15","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-04 01:00","2000","05","04","01:00","-8.7","","","M","","M","14","","6","","","M","97.66","","","","-12","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-04 02:00","2000","05","04","02:00","-7.2","","","M","","M","17","","9","","","M","97.69","","","","-12","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-04 03:00","2000","05","04","03:00","-6.3","","","M","","M","28","","7","","","M","97.69","","","","-10","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-04 04:00","2000","05","04","04:00","-6.6","","","M","","M","31","","15","","","M","97.66","","","","-13","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-04 05:00","2000","05","04","05:00","-8.0","","","M","","M","31","","19","","","M","97.66","","","","-15","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-04 06:00","2000","05","04","06:00","-10.5","","","M","","M","28","","13","","","M","97.69","","","","-17","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-04 07:00","2000","05","04","07:00","-11.9","","","M","","M","31","","19","","","M","97.66","","","","-20","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-04 08:00","2000","05","04","08:00","-14.7","","","M","","M","31","","24","","","M","97.66","","","","-25","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-04 09:00","2000","05","04","09:00","-15.5","","","M","","M","31","","24","","","M","97.69","","","","-26","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-04 10:00","2000","05","04","10:00","-15.5","","","M","","M","30","","24","","","M","97.72","","","","-26","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-04 11:00","2000","05","04","11:00","-15.8","","","M","","M","30","","24","","","M","97.72","","","","-26","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-04 12:00","2000","05","04","12:00","-14.5","","","M","","M","30","","26","","","M","97.76","","","","-25","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-04 13:00","2000","05","04","13:00","-12.9","","","M","","M","31","","33","","","M","97.79","","","","-24","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2000-05-04 14:00","2000","05","04","14:00","-12.3","","","M","","M","31","","32","","","M","97.79","","","","-23","","NA"
