"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-01 00:00","2004","10","01","00:00","-6.4","","","M","","M","","","7","","24","","","M","97.85","","","","-14","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-01 01:00","2004","10","01","01:00","-6.6","","","M","","M","","","6","","26","","","M","97.79","","","","-15","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-01 02:00","2004","10","01","02:00","-6.8","","","M","","M","","","6","","26","","","M","97.83","","","","-15","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-01 03:00","2004","10","01","03:00","-6.5","","","M","","M","","","4","","22","","","M","97.86","","","","-14","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-01 04:00","2004","10","01","04:00","-6.6","","","M","","M","","","3","","30","","","M","97.88","","","","-15","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-01 05:00","2004","10","01","05:00","-6.7","","","M","","M","","","2","","26","","","M","97.95","","","","-15","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-01 06:00","2004","10","01","06:00","-6.7","","","M","","M","","","1","","26","","","M","98.03","","","","-15","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-01 07:00","2004","10","01","07:00","-6.8","","","M","","M","","","1","","28","","","M","98.09","","","","-15","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-01 08:00","2004","10","01","08:00","-6.9","","","M","","M","","","1","","24","","","M","98.20","","","","-15","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-01 09:00","2004","10","01","09:00","-6.9","","","M","","M","","","34","","15","","","M","98.31","","","","-13","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-01 10:00","2004","10","01","10:00","-6.7","","","M","","M","","","31","","13","","","M","98.42","","","","-12","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-01 11:00","2004","10","01","11:00","-5.6","","","M","","M","","","31","","17","","","M","98.51","","","","-12","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-01 12:00","2004","10","01","12:00","-5.0","","","M","","M","","","30","","22","","","M","98.62","","","","-12","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-01 13:00","2004","10","01","13:00","-5.9","","","M","","M","","","36","","37","","","M","98.73","","","","-15","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-01 14:00","2004","10","01","14:00","-7.1","","","M","","M","","","34","","37","","","M","98.85","","","","-17","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-01 15:00","2004","10","01","15:00","-7.8","","","M","","M","","","33","","35","","","M","98.95","","","","-17","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-01 16:00","2004","10","01","16:00","-8.5","","","M","","M","","","34","","28","","","M","99.02","","","","-17","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-01 17:00","2004","10","01","17:00","-8.5","","","M","","M","","","34","","22","","","M","99.09","","","","-16","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-01 18:00","2004","10","01","18:00","-8.3","","","M","","M","","","34","","26","","","M","99.15","","","","-17","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-01 19:00","2004","10","01","19:00","-8.5","","","M","","M","","","30","","7","","","M","99.20","","","","-12","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-01 20:00","2004","10","01","20:00","-8.8","","","M","","M","","","27","","13","","","M","99.24","","","","-15","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-01 21:00","2004","10","01","21:00","-9.2","","","M","","M","","","26","","13","","","M","99.26","","","","-15","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-01 22:00","2004","10","01","22:00","-9.5","","","M","","M","","","26","","15","","","M","99.27","","","","-16","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-01 23:00","2004","10","01","23:00","-9.0","","","M","","M","","","23","","17","","","M","99.30","","","","-16","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-02 00:00","2004","10","02","00:00","-9.4","","","M","","M","","","24","","22","","","M","99.30","","","","-17","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-02 01:00","2004","10","02","01:00","-9.6","","","M","","M","","","23","","26","","","M","99.33","","","","-18","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-02 02:00","2004","10","02","02:00","-9.4","","","M","","M","","","24","","20","","","M","99.34","","","","-17","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-02 03:00","2004","10","02","03:00","-9.1","","","M","","M","","","24","","20","","","M","99.35","","","","-17","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-02 04:00","2004","10","02","04:00","-9.8","","","M","","M","","","22","","26","","","M","99.36","","","","-19","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-02 05:00","2004","10","02","05:00","-9.5","","","M","","M","","","21","","22","","","M","99.38","","","","-18","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-02 06:00","2004","10","02","06:00","-9.8","","","M","","M","","","20","","26","","","M","99.39","","","","-19","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-02 07:00","2004","10","02","07:00","-9.4","","","M","","M","","","19","","26","","","M","99.37","","","","-18","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-02 08:00","2004","10","02","08:00","-9.8","","","M","","M","","","19","","28","","","M","99.37","","","","-19","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-02 09:00","2004","10","02","09:00","-10.0","","","M","","M","","","19","","28","","","M","99.39","","","","-19","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-02 10:00","2004","10","02","10:00","-9.4","","","M","","M","","","19","","28","","","M","99.40","","","","-18","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-02 11:00","2004","10","02","11:00","-9.1","","","M","","M","","","18","","26","","","M","99.40","","","","-18","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-02 12:00","2004","10","02","12:00","-8.4","","","M","","M","","","18","","30","","","M","99.39","","","","-17","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-02 13:00","2004","10","02","13:00","-7.8","","","M","","M","","","17","","28","","","M","99.37","","","","-16","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-02 14:00","2004","10","02","14:00","-7.2","","","M","","M","","","16","","28","","","M","99.37","","","","-16","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-02 15:00","2004","10","02","15:00","-7.0","","","M","","M","","","16","","26","","","M","99.36","","","","-15","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-02 16:00","2004","10","02","16:00","-6.6","","","M","","M","","","13","","19","","","M","99.30","","","","-13","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-02 17:00","2004","10","02","17:00","-6.6","","","M","","M","","","12","","9","","","M","99.25","","","","-11","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-02 18:00","2004","10","02","18:00","-7.5","","","M","","M","","","13","","9","","","M","99.23","","","","-12","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-02 19:00","2004","10","02","19:00","-7.6","","","M","","M","","","14","","28","","","M","99.17","","","","-16","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-02 20:00","2004","10","02","20:00","-8.5","","","M","","M","","","15","","26","","","M","99.13","","","","-17","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-02 21:00","2004","10","02","21:00","-8.5","","","M","","M","","","15","","32","","","M","99.09","","","","-18","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-02 22:00","2004","10","02","22:00","-8.6","","","M","","M","","","15","","32","","","M","99.05","","","","-18","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-02 23:00","2004","10","02","23:00","-9.5","","","M","","M","","","15","","35","","","M","98.99","","","","-20","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-03 00:00","2004","10","03","00:00","-9.6","","","M","","M","","","16","","32","","","M","98.96","","","","-19","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-03 01:00","2004","10","03","01:00","-9.9","","","M","","M","","","15","","33","","","M","98.90","","","","-20","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-03 02:00","2004","10","03","02:00","-9.7","","","M","","M","","","15","","35","","","M","98.81","","","","-20","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-03 03:00","2004","10","03","03:00","-9.6","","","M","","M","","","15","","35","","","M","98.72","","","","-20","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-03 04:00","2004","10","03","04:00","-9.8","","","M","","M","","","16","","35","","","M","98.66","","","","-20","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-03 05:00","2004","10","03","05:00","-9.7","","","M","","M","","","14","","26","","","M","98.63","","","","-19","","NA"
"-133.94","68.91","STORM HILLS","220LQJJ","2004-10-03 06:00","2004","10","03","06:00","-10.1","","","M","","M","","","14","","28","","","M","98.55","","","","-19","","NA"
