"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-133.48","68.30","INUVIK A","2202570","1983-01-01","1983","01","01","","-11.2","","-20.9","","-16.1","","34.1","","0.0","","0.0","","0.2","","0.2","","74","","33","","35","E"
"-133.48","68.30","INUVIK A","2202570","1983-01-02","1983","01","02","","-20.3","","-28.6","","-24.5","","42.5","","0.0","","0.0","","4.4","","4.0","","75","","33","","33","E"
"-133.48","68.30","INUVIK A","2202570","1983-01-03","1983","01","03","","-28.3","","-41.6","","-35.0","","53.0","","0.0","","0.0","","0.2","","0.2","","78","","","","<31",""
"-133.48","68.30","INUVIK A","2202570","1983-01-04","1983","01","04","","-29.2","","-37.7","","-33.5","","51.5","","0.0","","0.0","","0.6","","0.6","","78","","","","<31",""
"-133.48","68.30","INUVIK A","2202570","1983-01-05","1983","01","05","","-37.6","","-45.7","","-41.7","","59.7","","0.0","","0.0","","0.0","T","0.0","T","79","","","","<31",""
"-133.48","68.30","INUVIK A","2202570","1983-01-06","1983","01","06","","-43.6","","-49.1","","-46.4","","64.4","","0.0","","0.0","","0.0","","0.0","","79","","","","<31",""
"-133.48","68.30","INUVIK A","2202570","1983-01-07","1983","01","07","","-28.5","","-47.9","","-38.2","","56.2","","0.0","","0.0","","4.1","","4.1","","79","","","","<31",""
"-133.48","68.30","INUVIK A","2202570","1983-01-08","1983","01","08","","-27.9","","-31.2","","-29.6","","47.6","","0.0","","0.0","","1.0","","1.0","","82","","31","","59","E"
"-133.48","68.30","INUVIK A","2202570","1983-01-09","1983","01","09","","-24.7","","-34.6","","-29.7","","47.7","","0.0","","0.0","","0.2","","0.2","","82","","30","","43","E"
"-133.48","68.30","INUVIK A","2202570","1983-01-10","1983","01","10","","-27.4","","-38.4","","-32.9","","50.9","","0.0","","0.0","","0.2","","0.2","","82","","","","<31",""
"-133.48","68.30","INUVIK A","2202570","1983-01-11","1983","01","11","","-36.2","","-43.2","","-39.7","","57.7","","0.0","","0.0","","0.0","T","0.0","T","82","","","","<31",""
