"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-01 00:00","1993","03","01","00:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-01 01:00","1993","03","01","01:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-01 02:00","1993","03","01","02:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-01 03:00","1993","03","01","03:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-01 04:00","1993","03","01","04:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-01 05:00","1993","03","01","05:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-01 06:00","1993","03","01","06:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-01 07:00","1993","03","01","07:00","-14.7","","-16.2","","88","","11","","22","","24.1","","99.69","","","","-24","","Clear"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-01 08:00","1993","03","01","08:00","-15.3","","-17.3","","85","","12","","26","","24.1","","99.62","","","","-26","","Snow"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-01 09:00","1993","03","01","09:00","-15.4","","-17.3","","85","","12","","28","","24.1","","99.55","","","","-26","","Snow"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-01 10:00","1993","03","01","10:00","-16.4","","-18.4","","84","","13","","22","","24.1","","99.58","","","","-26","","Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-01 11:00","1993","03","01","11:00","-17.0","","-19.0","","84","","12","","20","","24.1","","99.55","","","","-27","","Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-01 12:00","1993","03","01","12:00","-16.2","","-17.9","","87","","12","","20","","24.1","","99.58","","","","-26","","Mainly Clear"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-01 13:00","1993","03","01","13:00","-17.8","","-20.1","","82","","13","","24","","24.1","","99.58","","","","-29","","Mainly Clear"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-01 14:00","1993","03","01","14:00","-17.2","","-19.0","","86","","12","","17","","24.1","","99.58","","","","-26","","Mainly Clear"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-01 15:00","1993","03","01","15:00","-18.1","","-20.1","","84","","14","","15","","24.1","","99.62","","","","-27","","Mainly Clear"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-01 16:00","1993","03","01","16:00","-17.9","","-20.1","","83","","12","","15","","24.1","","99.62","","","","-26","","Mostly Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-01 17:00","1993","03","01","17:00","-17.2","","-19.0","","86","","12","","11","","24.1","","99.62","","","","-24","","Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-01 18:00","1993","03","01","18:00","-18.0","","-20.1","","83","","14","","7","","24.1","","99.69","","","","-23","","Mostly Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-01 19:00","1993","03","01","19:00","-19.2","","-21.1","","85","","20","","4","","24.1","","99.72","","","","-23","","Mostly Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-01 20:00","1993","03","01","20:00","-21.2","","-23.3","","84","","25","","13","","24.1","","99.82","","","","-30","","Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-01 21:00","1993","03","01","21:00","-21.2","","-23.3","","84","","25","","15","","24.1","","99.85","","","","-31","","Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-01 22:00","1993","03","01","22:00","-21.7","","-23.9","","83","","25","","20","","24.1","","99.92","","","","-33","","Mostly Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-01 23:00","1993","03","01","23:00","-22.0","","-24.4","","81","","25","","20","","24.1","","99.99","","","","-33","","Mostly Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-02 00:00","1993","03","02","00:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-02 01:00","1993","03","02","01:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-02 02:00","1993","03","02","02:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-02 03:00","1993","03","02","03:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-02 04:00","1993","03","02","04:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-02 05:00","1993","03","02","05:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-02 06:00","1993","03","02","06:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-02 07:00","1993","03","02","07:00","-18.0","","-20.1","","83","","29","","30","","24.1","","100.67","","","","-30","","Mostly Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-02 08:00","1993","03","02","08:00","-17.2","","-19.0","","86","","30","","31","","16.1","","100.73","","","","-29","","Mostly Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-02 09:00","1993","03","02","09:00","-17.5","","-19.5","","84","","31","","39","","2.4","","100.84","","","","-31","","Blowing Snow"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-02 10:00","1993","03","02","10:00","-17.6","","-19.5","","85","","31","","33","","6.4","","100.94","","","","-30","","Blowing Snow"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-02 11:00","1993","03","02","11:00","-17.9","","-20.1","","83","","31","","35","","6.4","","101.04","","","","-31","","Blowing Snow"
"-133.03","69.43","TUKTOYAKTUK A","2203912","1993-03-02 12:00","1993","03","02","12:00","-18.0","","-20.1","","83","","31","","33","","6.4","","101.14","","","","-30","","Blowing Snow"
