"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-01","1999","01","01","","-24.2","","-31.9","","-28.1","","46.1","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-02","1999","01","02","","-27.0","","-31.8","","-29.4","","47.4","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-03","1999","01","03","","-26.3","","-31.2","","-28.8","","46.8","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-04","1999","01","04","","-23.3","","-29.7","","-26.5","","44.5","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-05","1999","01","05","","-20.4","","-24.5","","-22.5","","40.5","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-06","1999","01","06","","-20.4","","-29.7","","-25.1","","43.1","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-07","1999","01","07","","-23.3","","-29.3","","-26.3","","44.3","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-08","1999","01","08","","-23.9","","-31.4","","-27.7","","45.7","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-09","1999","01","09","","-24.8","","-29.4","","-27.1","","45.1","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-10","1999","01","10","","-24.9","","-29.3","","-27.1","","45.1","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-11","1999","01","11","","-28.7","","-32.1","","-30.4","","48.4","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-12","1999","01","12","","-23.9","","-34.5","","-29.2","","47.2","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-13","1999","01","13","","-21.0","","-31.8","","-26.4","","44.4","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-14","1999","01","14","","-24.3","","-28.0","","-26.2","","44.2","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-15","1999","01","15","","-20.0","","-27.0","","-23.5","","41.5","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-16","1999","01","16","","-17.5","","-20.0","","-18.8","","36.8","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-17","1999","01","17","","-14.2","","-18.0","","-16.1","","34.1","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-18","1999","01","18","","-16.8","","-26.0","","-21.4","","39.4","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-19","1999","01","19","","-22.9","","-30.8","","-26.9","","44.9","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-20","1999","01","20","","-28.9","","-33.9","","-31.4","","49.4","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-21","1999","01","21","","-30.1","","-34.3","","-32.2","","50.2","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-22","1999","01","22","","-24.0","","-30.1","","-27.1","","45.1","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-23","1999","01","23","","-8.1","","-29.6","","-18.9","","36.9","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-24","1999","01","24","","-4.2","","-15.5","","-9.9","","27.9","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-25","1999","01","25","","-15.5","","-24.8","","-20.2","","38.2","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-26","1999","01","26","","-24.6","","-32.3","","-28.5","","46.5","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-27","1999","01","27","","-30.7","","-38.2","","-34.5","","52.5","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-28","1999","01","28","","-32.1","","-39.5","","-35.8","","53.8","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-29","1999","01","29","","-31.4","","-37.5","","-34.5","","52.5","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-30","1999","01","30","","-32.9","","-39.4","","-36.2","","54.2","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-01-31","1999","01","31","","-32.3","","-38.3","","-35.3","","53.3","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-02-01","1999","02","01","","-24.4","","-35.3","","-29.9","","47.9","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-02-02","1999","02","02","","-29.9","","-35.4","","-32.7","","50.7","","0.0","","","","","","","","","","","","",""
"-133.50","68.75","TRAIL VALLEY","220N005","1999-02-03","1999","02","03","","-28.0","","-32.4","","-30.2","","48.2","","0.0","","","","","","","","","","","","",""
