"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-133.50","68.75","TRAIL VALLEY","220N005","2008-06-01 00:00","2008","06","01","00:00","-1.3","","-3.0","","88","","","","7","","9","","","","100.31","","","","-5","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2008-06-01 01:00","2008","06","01","01:00","-2.3","","-3.3","","93","","","","9","","7","","","","100.28","","","","-5","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2008-06-01 02:00","2008","06","01","02:00","-3.2","","-3.9","","95","","","","8","","7","","","","100.23","","","","-6","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2008-06-01 03:00","2008","06","01","03:00","-3.5","","-3.9","","97","","","","11","","7","","","","100.17","","","","-6","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2008-06-01 04:00","2008","06","01","04:00","-2.8","","-3.6","","94","","","","13","","6","","","","100.10","","","","-5","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2008-06-01 05:00","2008","06","01","05:00","-1.3","","-3.0","","88","","","","15","","6","","","","100.03","","","","-4","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2008-06-01 06:00","2008","06","01","06:00","0.0","","-2.1","","86","","","","9","","7","","","","99.93","","","","-2","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2008-06-01 07:00","2008","06","01","07:00","3.3","","0.5","","82","","","","17","","13","","","","99.89","","","","","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2008-06-01 08:00","2008","06","01","08:00","5.2","","2.2","","81","","","","17","","9","","","","99.84","","","","","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2008-06-01 09:00","2008","06","01","09:00","6.4","","2.8","","78","","","","15","","17","","","","99.72","","","","","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2008-06-01 10:00","2008","06","01","10:00","8.3","","3.6","","72","","","","17","","20","","","","99.66","","","","","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2008-06-01 11:00","2008","06","01","11:00","8.4","","3.6","","72","","","","20","","20","","","","99.62","","","","","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2008-06-01 12:00","2008","06","01","12:00","7.5","","4.4","","81","","","","24","","20","","","","99.62","","","","","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2008-06-01 13:00","2008","06","01","13:00","7.2","","4.7","","84","","","","25","","22","","","","99.60","","","","","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","2008-06-01 14:00","2008","06","01","14:00","2.1","","2.1","","100","","","","27","","22","","","","99.63","","","","","","NA"
