"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-133.50","68.75","TRAIL VALLEY","220N005","1999-11-01 00:00","1999","11","01","00:00","-20.0","","-21.9","","85","","3","","4","","","M","","M","","","-23","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","1999-11-01 01:00","1999","11","01","01:00","-22.3","","-24.2","","84","","3","","6","","","M","","M","","","-28","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","1999-11-01 02:00","1999","11","01","02:00","-23.4","","-25.4","","84","","30","","4","","","M","","M","","","-27","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","1999-11-01 03:00","1999","11","01","03:00","-24.1","","-25.9","","85","","34","","6","","","M","","M","","","-30","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","1999-11-01 04:00","1999","11","01","04:00","-24.3","","-26.4","","83","","35","","7","","","M","","M","","","-31","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","1999-11-01 05:00","1999","11","01","05:00","-24.0","","-26.2","","82","","33","","4","","","M","","M","","","-28","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","1999-11-01 06:00","1999","11","01","06:00","-22.6","","-24.5","","84","","35","","11","","","M","","M","","","-31","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","1999-11-01 07:00","1999","11","01","07:00","-21.2","","-22.8","","87","","2","","13","","","M","","M","","","-30","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","1999-11-01 08:00","1999","11","01","08:00","-19.3","","-20.8","","88","","2","","19","","","M","","M","","","-29","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","1999-11-01 09:00","1999","11","01","09:00","-17.9","","-19.2","","90","","4","","24","","","M","","M","","","-29","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","1999-11-01 10:00","1999","11","01","10:00","-17.4","","-18.6","","90","","3","","28","","","M","","M","","","-29","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","1999-11-01 11:00","1999","11","01","11:00","-16.6","","-17.8","","90","","3","","32","","","M","","M","","","-28","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","1999-11-01 12:00","1999","11","01","12:00","-16.1","","-17.2","","91","","3","","35","","","M","","M","","","-28","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","1999-11-01 13:00","1999","11","01","13:00","-15.0","","-16.0","","92","","3","","30","","","M","","M","","","-26","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","1999-11-01 14:00","1999","11","01","14:00","-14.0","","-14.9","","93","","3","","30","","","M","","M","","","-25","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","1999-11-01 15:00","1999","11","01","15:00","-13.5","","-14.4","","93","","2","","26","","","M","","M","","","-23","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","1999-11-01 16:00","1999","11","01","16:00","-13.3","","-14.0","","94","","2","","37","","","M","","M","","","-25","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","1999-11-01 17:00","1999","11","01","17:00","-13.1","","-13.9","","94","","2","","32","","","M","","M","","","-24","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","1999-11-01 18:00","1999","11","01","18:00","-13.0","","-13.8","","94","","2","","35","","","M","","M","","","-24","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","1999-11-01 19:00","1999","11","01","19:00","-13.2","","-14.0","","94","","1","","43","","","M","","M","","","-25","","NA"
"-133.50","68.75","TRAIL VALLEY","220N005","1999-11-01 20:00","1999","11","01","20:00","-13.1","","-13.8","","94","","1","","35","","","M","","M","","","-24","","NA"
